Operon Name	Total C.Score	Deletion C.Score	Splits C.Score	Duplications C.Score
bsub-BSU32710	0.0000	0.0000	0.0000	0.0000
bsub-BSU33950	0.1089	0.0000	0.1089	0.0000
bsub-BSU15880	0.3135	0.1089	0.2046	0.0000
bsub-BSU11190	0.4069	0.1232	0.2837	0.0000
bsub-BSU25680	0.4340	0.1466	0.2874	0.0000
bsub-BSU24430	0.4659	0.4053	0.0606	0.0000
bsub-BSU05900	0.4729	0.4729	0.0000	0.0000
bsub-BSU16120	0.4891	0.0377	0.4514	0.0000
bsub-BSU00930	0.4964	0.3875	0.1089	0.0000
bsub-BSU00830	0.5835	0.5094	0.0740	0.0000
bsub-BSU12920	0.6183	0.4441	0.1742	0.0000
bsub-BSU28030	0.6999	0.3898	0.3101	0.0000
bsub-BSU15370	0.7242	0.3991	0.3251	0.0000
bsub-BSU34930	0.7323	0.1977	0.5346	0.0000
bsub-BSU16490	0.7489	0.4615	0.2874	0.0000
bsub-BSU06420	0.7591	0.1118	0.6473	0.0000
bsub-BSU28310	0.7739	0.2637	0.5102	0.0000
bsub-BSU01070	0.9216	0.5065	0.4151	0.0000
bsub-BSU11430	0.9260	0.4688	0.4572	0.0000
bsub-BSU15490	0.9361	0.4848	0.4514	0.0000
bsub-BSU35000	0.9427	0.6337	0.3090	0.0000
bsub-BSU36880	0.9652	0.8229	0.1422	0.0000
bsub-BSU08290	0.9985	0.7199	0.2787	0.0000
bsub-BSU16590	1.0247	0.5907	0.4340	0.0000
bsub-BSU28560	1.0445	0.5803	0.4642	0.0000
bsub-BSU27630	1.0566	0.6125	0.4441	0.0000
bsub-BSU16730	1.1785	0.9739	0.2046	0.0000
bsub-BSU30420	1.1952	0.6372	0.5573	0.0007
bsub-BSU25510	1.2032	0.2787	0.9245	0.0000
bsub-BSU24990	1.2308	0.6517	0.5791	0.0000
bsub-BSU02530	1.2583	0.6967	0.4949	0.0668
bsub-BSU00990	1.3164	0.7446	0.5718	0.0000
bsub-BSU00500	1.3266	0.7562	0.5704	0.0000
bsub-BSU28170	1.3356	0.6998	0.6357	0.0000
bsub-BSU13870	1.3851	0.3357	1.0431	0.0063
bsub-BSU31710	1.3940	0.8418	0.5327	0.0196
bsub-BSU23030	1.4181	1.2416	0.1765	0.0000
bsub-BSU23150	1.4427	1.2308	0.2119	0.0000
bsub-BSU24300	1.5210	0.7925	0.7286	0.0000
bsub-BSU24730	1.5594	1.4034	0.1560	0.0000
bsub-BSU24170	1.5634	0.8341	0.7293	0.0000
bsub-BSU22680	1.5906	0.2996	1.2910	0.0000
bsub-BSU39350	1.6000	0.3183	1.2817	0.0000
bsub-BSU03320	1.6250	0.6815	0.9194	0.0242
bsub-BSU22500	1.6328	1.0160	0.6168	0.0000
bsub-BSU23440	1.6387	1.1059	0.5311	0.0017
bsub-BSU40410	1.6647	0.8142	0.8505	0.0000
bsub-BSU24090	1.6909	1.1872	0.5036	0.0000
bsub-BSU14880	1.7044	1.0181	0.6863	0.0000
bsub-BSU38500	1.7538	1.3934	0.3514	0.0090
bsub-BSU08060	1.7765	0.9057	0.8708	0.0000
bsub-BSU00270	1.7823	1.3135	0.4688	0.0000
bsub-BSU30260	1.8203	0.9797	0.8242	0.0164
bsub-BSU30830	1.8612	0.7918	1.0694	0.0000
bsub-BSU14260	1.9027	1.0497	0.8520	0.0011
bsub-BSU34780	1.9550	1.0522	0.9028	0.0000
bsub-BSU00570	1.9746	1.3367	0.6372	0.0007
bsub-BSU38600	1.9939	1.1293	0.7756	0.0890
bsub-BSU00740	1.9942	0.6197	1.3745	0.0000
bsub-BSU31600	2.0723	1.9677	0.0799	0.0247
bsub-BSU38760	2.2453	1.2990	0.9463	0.0000
bsub-BSU35910	2.2460	1.4543	0.7910	0.0007
bsub-BSU08920	2.3054	1.5484	0.7484	0.0086
bsub-BSU39520	2.3077	1.3367	0.9260	0.0450
bsub-BSU39680	2.3200	1.3440	0.8824	0.0936
bsub-BSU04670	2.5094	2.0798	0.4296	0.0000
bsub-BSU38700	2.6038	2.0000	0.5428	0.0610
bsub-BSU11650	2.6549	1.4098	1.2414	0.0037
bsub-BSU04050	2.6609	1.8792	0.7816	0.0000
bsub-BSU01700	2.6640	1.4359	1.2281	0.0000
bsub-BSU15170	3.3316	1.5762	1.7329	0.0225
bsub-BSU39760	3.7816	2.3701	1.3793	0.0322
bsub-BSU28800	4.1285	2.6589	1.4560	0.0135
bsub-BSU06940	4.2757	2.9010	1.2784	0.0962
bsub-BSU37910	4.8731	3.6559	1.1828	0.0344
bsub-BSU12300	5.5730	3.8571	1.6175	0.0984
bsub-BSU34350	6.6907	4.7568	1.8619	0.0721
